日期,销售额
2024-01-01,32749
2024-01-02,68393
2024-01-03,20273
2024-01-04,43017
2024-01-05,76453
2024-01-06,28246
2024-01-07,52426
2024-01-08,50563
2024-01-09,90838
2024-01-10,21339
2024-01-11,99467
2024-01-12,89795
2024-01-13,73575
2024-01-14,23143
2024-01-15,86040
2024-01-16,73533
2024-01-17,63117
2024-01-18,62026
2024-01-19,49035
2024-01-20,97086
2024-01-21,82670
2024-01-22,96210
2024-01-23,77249
2024-01-24,10900
2024-01-25,60679
2024-01-26,28854
2024-01-27,43859
2024-01-28,89956
2024-01-29,99931
2024-01-30,51099
2024-01-31,45400
2024-02-01,53149
2024-02-02,79812
2024-02-03,55154
2024-02-04,43347
2024-02-05,15589
2024-02-06,78447
2024-02-07,14893
2024-02-08,37919
2024-02-09,58426
2024-02-10,98742
2024-02-11,94772
2024-02-12,28003
2024-02-13,93360
2024-02-14,73302
2024-02-15,47700
2024-02-16,86336
2024-02-17,38124
2024-02-18,65340
2024-02-19,29328
2024-02-20,17373
2024-02-21,15111
2024-02-22,70469
2024-02-23,53861
2024-02-24,24228
2024-02-25,95157
2024-02-26,44959
2024-02-27,71538
2024-02-28,40068
2024-02-29,58277
2024-03-01,87855
2024-03-02,78175
2024-03-03,79821
2024-03-04,61240
2024-03-05,95034
2024-03-06,74571
2024-03-07,98437
2024-03-08,62392
2024-03-09,65066
2024-03-10,64831
2024-03-11,49173
2024-03-12,45959
2024-03-13,59993
2024-03-14,52061
2024-03-15,54533
2024-03-16,96631
2024-03-17,90357
2024-03-18,20095
2024-03-19,51484
2024-03-20,10866
2024-03-21,12171
2024-03-22,91781
2024-03-23,45676
2024-03-24,13756
2024-03-25,23029
2024-03-26,53267
2024-03-27,24531
2024-03-28,89724
2024-03-29,35294
2024-03-30,30615
2024-03-31,93814
2024-04-01,77954
2024-04-02,42114
2024-04-03,81482
2024-04-04,96604
2024-04-05,25275
2024-04-06,65621
2024-04-07,63700
2024-04-08,99233
2024-04-09,31972
2024-04-10,43737
2024-04-11,31527
2024-04-12,82351
2024-04-13,42317
2024-04-14,99718
2024-04-15,93873
2024-04-16,18377
2024-04-17,43822
2024-04-18,81038
2024-04-19,34412
2024-04-20,27439
2024-04-21,47721
2024-04-22,39714
2024-04-23,54709
2024-04-24,85825
2024-04-25,66331
2024-04-26,89007
2024-04-27,83626
2024-04-28,96405
2024-04-29,77188
2024-04-30,76343
2024-05-01,84679
2024-05-02,19825
2024-05-03,83236
2024-05-04,16465
2024-05-05,75288
2024-05-06,55507
2024-05-07,63530
2024-05-08,91685
2024-05-09,66664
2024-05-10,83162
2024-05-11,70052
2024-05-12,30383
2024-05-13,43183
2024-05-14,11337
2024-05-15,53649
2024-05-16,83118
2024-05-17,22545
2024-05-18,71613
2024-05-19,95879
2024-05-20,59299
2024-05-21,30643
2024-05-22,36757
2024-05-23,20152
2024-05-24,39518
2024-05-25,80614
2024-05-26,16958
2024-05-27,46310
2024-05-28,75084
2024-05-29,43650
2024-05-30,43493
2024-05-31,86691
2024-06-01,59376
2024-06-02,18757
2024-06-03,58295
2024-06-04,15624
2024-06-05,47711
2024-06-06,26269
2024-06-07,18244
2024-06-08,35925
2024-06-09,77251
2024-06-10,45699
2024-06-11,68171
2024-06-12,25278
2024-06-13,35681
2024-06-14,52674
2024-06-15,21724
2024-06-16,30213
2024-06-17,97091
2024-06-18,30918
2024-06-19,44545
2024-06-20,99542
2024-06-21,26015
2024-06-22,45878
2024-06-23,43920
2024-06-24,77006
2024-06-25,81490
2024-06-26,30650
2024-06-27,36937
2024-06-28,60182
2024-06-29,73245
2024-06-30,55268
2024-07-01,50704
2024-07-02,49346
2024-07-03,78233
2024-07-04,92882
2024-07-05,23518
2024-07-06,65943
2024-07-07,46899
2024-07-08,56842
2024-07-09,66041
2024-07-10,92194
2024-07-11,50058
2024-07-12,33841
2024-07-13,88642
2024-07-14,71431
2024-07-15,22697
2024-07-16,62725
2024-07-17,37456
2024-07-18,12674
2024-07-19,82192
2024-07-20,51051
2024-07-21,74664
2024-07-22,97049
2024-07-23,60935
2024-07-24,89501
2024-07-25,74692
2024-07-26,37935
2024-07-27,37677
2024-07-28,83571
2024-07-29,25091
2024-07-30,45202
2024-07-31,82558
2024-08-01,45007
2024-08-02,52874
2024-08-03,71716
2024-08-04,20459
2024-08-05,86285
2024-08-06,62093
2024-08-07,84604
2024-08-08,58348
2024-08-09,18335
2024-08-10,84947
2024-08-11,33702
2024-08-12,19693
2024-08-13,97978
2024-08-14,47619
2024-08-15,62458
2024-08-16,30633
2024-08-17,28863
2024-08-18,63047
2024-08-19,65434
2024-08-20,20955
2024-08-21,68521
2024-08-22,70959
2024-08-23,64043
2024-08-24,60753
2024-08-25,27800
2024-08-26,64740
2024-08-27,61439
2024-08-28,79943
2024-08-29,77850
2024-08-30,27579
2024-08-31,87060
2024-09-01,21536
2024-09-02,84455
2024-09-03,62307
2024-09-04,68001
2024-09-05,52447
2024-09-06,17145
2024-09-07,22451
2024-09-08,52750
2024-09-09,48910
2024-09-10,48012
2024-09-11,22371
2024-09-12,37041
2024-09-13,99525
2024-09-14,57335
2024-09-15,99297
2024-09-16,76403
2024-09-17,59440
2024-09-18,74821
2024-09-19,86600
2024-09-20,92510
2024-09-21,77121
2024-09-22,27610
2024-09-23,68831
2024-09-24,78778
2024-09-25,55793
2024-09-26,66013
2024-09-27,25466
2024-09-28,25355
2024-09-29,87656
2024-09-30,41058
2024-10-01,74996
2024-10-02,67507
2024-10-03,62826
2024-10-04,72779
2024-10-05,80301
2024-10-06,95549
2024-10-07,27276
2024-10-08,35376
2024-10-09,80612
2024-10-10,65344
2024-10-11,72800
